GEO_ID,Year,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,geo_12,Number of Public Schools
1500000US170310314001,2013,1430,44.6,76538.0,1160,3.3,1962.0,1058.0,1.39,0.7993006993006992,0.09230769230769231,0.050595238095238096,0.11206896551724138,170310314001,1.0
1500000US170310314002,2013,819,37.8,66469.0,510,3.5,1972.0,926.0,1.75,0.8717948717948718,0.0,0.375,0.08431372549019608,170310314002,1.0
1500000US170310314003,2013,865,37.1,76420.0,546,3.8,1955.0,1243.0,1.66,0.7988439306358381,0.07976878612716763,0.34591194968553457,0.045787545787545784,170310314003,0.0
1500000US170310314004,2013,109,75.4,,0,,,,,0.45871559633027525,0.3853211009174312,,,170310314004,0.0
1500000US170310314005,2013,1211,33.0,59831.0,712,3.8,1951.0,1615.0,1.68,0.7803468208092486,0.053674649050371594,0.38421052631578945,0.0,170310314005,0.0
1500000US170310314006,2013,782,47.8,52217.0,446,4.1,1964.0,1005.0,1.28,0.768542199488491,0.10741687979539642,0.5166666666666667,0.0,170310314006,0.0
1500000US170310315011,2013,833,51.1,18516.0,456,2.9,1939.0,529.0,1.59,0.3385354141656663,0.40336134453781514,0.5409836065573771,0.15350877192982457,170310315011,0.0
1500000US170310315012,2013,1448,35.8,34125.0,877,4.0,1949.0,711.0,1.93,0.4696132596685083,0.268646408839779,0.25951557093425603,0.18358038768529075,170310315012,0.0
1500000US170310315013,2013,1040,41.0,31128.0,557,3.3,1966.0,1030.0,1.47,0.49615384615384617,0.25576923076923075,0.39849624060150374,0.22262118491921004,170310315013,1.0
1500000US170310315021,2013,1703,29.8,40815.0,836,3.5,1939.0,831.0,2.21,0.6958308866705814,0.26071638285378745,0.47150259067357514,0.08732057416267942,170310315021,0.0
1500000US170310315022,2013,1355,35.2,20000.0,711,3.5,1950.0,531.0,1.98,0.38302583025830256,0.44944649446494467,0.46613545816733065,0.035161744022503515,170310315022,0.0
1500000US170310315023,2013,1474,50.0,11994.0,918,2.5,1944.0,422.0,1.69,0.19402985074626866,0.6316146540027137,0.8531468531468531,0.10893246187363835,170310315023,0.0
1500000US170310317001,2013,1885,32.2,39567.0,1071,3.9,1939.0,789.0,2.0,0.5655172413793104,0.19787798408488064,0.46701846965699206,0.12324929971988796,170310317001,0.0
1500000US170310317002,2013,1859,33.0,41516.0,1115,3.6,1939.0,675.0,1.88,0.5766541151156536,0.2958579881656805,0.21656050955414013,0.11121076233183856,170310317002,0.0
1500000US170310317003,2013,1481,34.5,29182.0,1146,2.8,1939.0,738.0,1.33,0.6279540850776503,0.31802835921674544,0.208955223880597,0.11082024432809773,170310317003,0.0
1500000US170310317004,2013,1339,36.1,58036.0,612,5.0,1939.0,850.0,2.3,0.6258401792382375,0.22255414488424197,0.2785234899328859,0.05065359477124183,170310317004,1.0
1500000US170310318001,2013,1774,32.5,54125.0,982,3.9,1939.0,851.0,1.9,0.8562570462232244,0.007891770011273957,0.3649025069637883,0.051934826883910386,170310318001,0.0
1500000US170310319001,2013,1039,38.2,51458.0,713,4.0,1939.0,1009.0,1.48,0.8710298363811357,0.02406159769008662,0.25165562913907286,0.028050490883590462,170310319001,0.0
1500000US170310319002,2013,1233,36.6,80081.0,628,4.2,1939.0,1054.0,2.06,0.754257907542579,0.09732360097323602,0.3443223443223443,0.044585987261146494,170310319002,0.0
1500000US170310321001,2013,1436,31.7,65199.0,1192,3.3,1939.0,1034.0,1.32,0.7186629526462396,0.11002785515320335,0.22641509433962265,0.13842281879194632,170310321001,0.0
1500000US170310321002,2013,1626,31.1,39631.0,979,2.8,1963.0,603.0,1.79,0.9034440344403444,0.00922509225092251,0.631336405529954,0.0735444330949949,170310321002,0.0
1500000US170310321003,2013,1703,33.6,46221.0,1020,3.6,1959.0,932.0,1.59,0.6940692894891368,0.15149735760422783,0.3371212121212121,0.0,170310321003,0.0
1500000US170310321004,2013,1100,30.9,37788.0,692,3.3,1939.0,966.0,1.59,0.5254545454545455,0.30727272727272725,0.4852941176470588,0.0,170310321004,0.0
1500000US170310321005,2013,1103,35.8,65500.0,654,4.5,1939.0,985.0,1.89,0.9492293744333635,0.005439709882139619,0.6055045871559633,0.1162079510703364,170310321005,0.0
1500000US170310401001,2013,1340,45.3,62313.0,632,4.5,1939.0,947.0,2.22,0.7843283582089552,0.06716417910447761,0.22591362126245848,0.19145569620253164,170310401001,0.0
1500000US170310401002,2013,1726,34.9,45197.0,901,4.5,1939.0,955.0,2.2,0.6651216685979142,0.11181923522595597,0.581081081081081,0.1309655937846837,170310401002,0.0
1500000US170310401003,2013,1008,39.4,66797.0,389,6.9,1939.0,636.0,2.73,0.8928571428571429,0.025793650793650792,0.6301369863013698,0.05141388174807198,170310401003,0.0
1500000US170310402011,2013,774,40.5,41588.0,596,3.9,1945.0,1200.0,1.6,0.8372093023255814,0.0,0.5230769230769231,0.18959731543624161,170310402011,0.0
1500000US170310402012,2013,1507,38.2,43576.0,825,4.3,1949.0,939.0,2.17,0.5899137358991373,0.0491041804910418,0.4326424870466321,0.18181818181818182,170310402012,1.0
1500000US170310402013,2013,1378,31.6,64605.0,656,5.0,1939.0,1182.0,2.26,0.9462989840348331,0.0,0.3323262839879154,0.0701219512195122,170310402013,0.0
1500000US170310402014,2013,2020,33.9,68017.0,857,5.5,1939.0,1079.0,2.4,0.9415841584158415,0.0,0.4083969465648855,0.01750291715285881,170310402014,0.0
1500000US170310402021,2013,656,32.9,54063.0,325,4.9,1963.0,908.0,2.48,0.5945121951219512,0.08841463414634146,0.3615819209039548,0.18769230769230769,170310402021,0.0
1500000US170310402022,2013,2750,33.7,40321.0,1168,4.2,1957.0,928.0,2.76,0.5930909090909091,0.13636363636363635,0.5523672883787661,0.14726027397260275,170310402022,0.0
1500000US170310402023,2013,1647,40.6,40250.0,652,4.0,1955.0,743.0,2.72,0.42987249544626593,0.03642987249544627,0.3564102564102564,0.0705521472392638,170310402023,0.0
1500000US170310402024,2013,1763,34.0,45568.0,945,4.0,1954.0,923.0,1.93,0.7033465683494045,0.06976744186046512,0.28431372549019607,0.11322751322751323,170310402024,0.0
1500000US170310403001,2013,996,43.5,82833.0,386,5.9,1955.0,1375.0,2.58,0.6837349397590361,0.0,0.3760330578512397,0.0,170310403001,0.0
1500000US170310403002,2013,820,46.6,65278.0,399,5.1,1955.0,1183.0,2.84,0.5390243902439025,0.2280487804878049,0.6020408163265306,0.3182957393483709,170310403002,0.0
1500000US170310403003,2013,729,45.7,111382.0,374,5.9,1939.0,,2.06,0.6063100137174211,0.012345679012345678,0.08658008658008658,0.09358288770053476,170310403003,0.0
1500000US170310404011,2013,834,29.2,42440.0,388,5.5,1939.0,1058.0,2.63,0.5479616306954437,0.013189448441247002,0.6153846153846154,0.18298969072164947,170310404011,0.0
1500000US170310404012,2013,512,38.8,58667.0,322,5.5,1939.0,948.0,1.83,0.8203125,0.001953125,0.3076923076923077,0.13664596273291926,170310404012,0.0
1500000US170310404013,2013,641,40.7,70125.0,281,4.4,1939.0,1135.0,2.57,0.6458658346333853,0.0,0.19230769230769232,0.11387900355871886,170310404013,0.0
1500000US170310404014,2013,995,37.6,75709.0,437,5.9,1939.0,1022.0,2.28,0.8391959798994975,0.053266331658291456,0.5542168674698795,0.0,170310404014,0.0
1500000US170310404021,2013,463,28.4,53875.0,241,4.3,1939.0,967.0,1.92,0.8012958963282938,0.0,0.8181818181818182,0.0,170310404021,0.0
1500000US170310404022,2013,695,30.4,61895.0,516,4.0,1939.0,941.0,1.59,0.8402877697841726,0.07194244604316546,0.5698924731182796,0.15310077519379844,170310404022,2.0
1500000US170310404023,2013,1475,40.1,53553.0,762,4.0,1939.0,982.0,1.94,0.7172881355932204,0.06576271186440678,0.3393782383419689,0.0,170310404023,0.0
1500000US170310404024,2013,578,45.7,59808.0,282,4.9,1939.0,1182.0,2.49,0.740484429065744,0.0,0.19696969696969696,0.1773049645390071,170310404024,0.0
1500000US170310404025,2013,1220,32.7,75313.0,739,4.2,1939.0,1123.0,1.65,0.8754098360655738,0.0680327868852459,0.3875968992248062,0.0,170310404025,0.0
1500000US170310406001,2013,725,39.8,66548.0,330,4.6,1939.0,927.0,2.2,0.7931034482758621,0.08275862068965517,0.6142857142857143,0.0,170310406001,0.0
1500000US170310406002,2013,992,34.7,55625.0,557,4.2,1939.0,1128.0,1.9,0.9243951612903226,0.019153225806451613,0.2679425837320574,0.06104129263913824,170310406002,0.0
1500000US170310406003,2013,812,31.8,73163.0,442,5.0,1939.0,1194.0,2.16,0.8300492610837439,0.0,0.405,0.1493212669683258,170310406003,0.0
1500000US170310407001,2013,850,37.0,54615.0,432,4.6,1939.0,1079.0,2.05,0.8541176470588235,0.0,0.2033898305084746,0.041666666666666664,170310407001,0.0
1500000US170310407002,2013,835,37.6,100375.0,484,4.7,1939.0,1219.0,1.85,0.8479041916167664,0.0,0.24390243902439024,0.06611570247933884,170310407002,0.0
1500000US170310407003,2013,751,38.0,60139.0,347,5.0,1939.0,1379.0,2.25,0.8548601864181092,0.009320905459387484,0.34615384615384615,0.037463976945244955,170310407003,0.0
1500000US170310407004,2013,732,37.1,82292.0,350,4.3,1939.0,1076.0,2.55,0.8647540983606558,0.09289617486338798,0.3076923076923077,0.18,170310407004,0.0
1500000US170310408001,2013,799,33.7,63393.0,408,5.2,1939.0,1213.0,2.03,0.8010012515644556,0.0,0.36036036036036034,0.03676470588235294,170310408001,1.0
1500000US170310408002,2013,967,38.0,81313.0,408,5.3,1939.0,1204.0,2.19,0.8190279214064116,0.06204756980351603,0.5698324022346368,0.031862745098039214,170310408002,0.0
1500000US170310409001,2013,1428,33.9,69079.0,655,4.2,1939.0,950.0,2.24,0.8690476190476191,0.0,0.36977491961414793,0.02900763358778626,170310409001,0.0
1500000US170310409002,2013,746,32.4,63000.0,443,3.8,1939.0,928.0,1.78,0.8109919571045576,0.0013404825737265416,0.09219858156028368,0.060948081264108354,170310409002,0.0
1500000US170310501001,2013,900,31.1,85642.0,406,5.3,1941.0,1170.0,2.49,0.8988888888888888,0.021111111111111112,0.5786802030456852,0.11083743842364532,170310501001,0.0
1500000US170310501002,2013,1658,32.1,71528.0,859,5.0,1939.0,1247.0,2.03,0.9451145958986731,0.016284680337756333,0.47297297297297297,0.051222351571594875,170310501002,0.0
1500000US170310502001,2013,1035,35.5,73194.0,531,5.3,1939.0,1110.0,2.09,0.9004830917874396,0.0,0.631578947368421,0.06779661016949153,170310502001,0.0
1500000US170310502002,2013,2145,33.9,69674.0,1175,4.6,1939.0,1135.0,2.1,0.8862470862470863,0.04428904428904429,0.3574561403508772,0.13191489361702127,170310502002,0.0
1500000US170310502003,2013,1892,42.4,59904.0,830,5.0,1952.0,808.0,2.4,0.7145877378435518,0.04175475687103594,0.3761467889908257,0.04939759036144578,170310502003,1.0
1500000US170310503001,2013,1086,36.7,100682.0,454,4.8,1939.0,1071.0,2.56,0.8351749539594844,0.0,0.32857142857142857,0.06607929515418502,170310503001,0.0
1500000US170310503002,2013,621,37.6,81473.0,337,5.2,1939.0,1089.0,1.84,0.8921095008051529,0.0,0.5510204081632653,0.0,170310503002,0.0
1500000US170310503003,2013,824,35.9,64683.0,391,5.1,1939.0,1066.0,2.26,0.9211165048543689,0.01820388349514563,0.5918367346938775,0.06905370843989769,170310503003,0.0
1500000US170310505001,2013,974,31.5,123125.0,459,5.2,1939.0,963.0,2.56,0.8952772073921971,0.0,0.4785992217898833,0.16993464052287582,170310505001,0.0
1500000US170310505002,2013,1486,35.5,84899.0,645,5.7,1939.0,1489.0,2.39,0.9703903095558546,0.004710632570659489,0.5516014234875445,0.04961240310077519,170310505002,0.0
1500000US170310505003,2013,578,44.3,106917.0,354,5.5,1939.0,1373.0,1.66,0.9342560553633218,0.0,0.4621212121212121,0.014124293785310734,170310505003,0.0
1500000US170310505004,2013,1312,36.3,110893.0,426,6.4,1939.0,1495.0,3.08,0.791920731707317,0.019054878048780487,0.4699140401146132,0.0,170310505004,0.0
1500000US170310505005,2013,854,39.6,76771.0,416,5.7,1939.0,1351.0,2.12,0.9121779859484778,0.0,0.5207100591715976,0.03125,170310505005,1.0
1500000US170310506001,2013,1453,31.0,86750.0,624,4.8,1939.0,1456.0,2.52,0.8926359256710255,0.03785271851342051,0.4885245901639344,0.07532051282051282,170310506001,0.0
1500000US170310506002,2013,1050,30.5,89911.0,521,4.9,1939.0,1332.0,2.05,0.9152380952380952,0.0,0.1717171717171717,0.015355086372360844,170310506002,0.0
1500000US170310507001,2013,1488,33.1,101923.0,745,5.0,1939.0,1490.0,2.06,0.946236559139785,0.0114247311827957,0.36,0.03087248322147651,170310507001,0.0
1500000US170310508001,2013,1349,34.2,120313.0,605,5.7,1939.0,1556.0,2.45,0.916234247590808,0.0037064492216456633,0.37815126050420167,0.08925619834710743,170310508001,1.0
1500000US170310509001,2013,1644,32.0,90956.0,735,5.6,1939.0,1205.0,2.47,0.9343065693430657,0.0,0.6179775280898876,0.09523809523809523,170310509001,0.0
