,geo_id,stop_id,station_name,distance_miles
1506,1500000US170312001003,30108,Irving Park,0.795192808
1507,1500000US170312215001,30130,Western,0.057355289
1508,1500000US170312004012,30198,Logan Square,1.768616436
1509,1500000US170312204001,30112,California,0.131978449
1510,1500000US170312211003,30198,Logan Square,0.242065832
1511,1500000US170311405003,30108,Irving Park,0.022115294
1512,1500000US170311703002,30146,Harlem,0.78130687
1513,1500000US170314313012,30140,Cottage Grove,2.999252417
1514,1500000US170318403002,30023,35th/Archer,0.027142577
1515,1500000US170311103001,30146,Harlem,1.531069046
1516,1500000US170315610004,30182,Midway,3.805691266
1517,1500000US170313201003,30384,Washington/Wabash,0.381894398
1518,1500000US170311401002,30226,Kedzie,0.104993128
1519,1500000US170315502001,30089,95th/Dan Ryan,4.856306622
1520,1500000US170311708003,30146,Harlem,0.542751367
1521,1500000US170311105015,30248,Jefferson Park,0.029522632
1522,1500000US170311505011,30248,Jefferson Park,1.382552432
1523,1500000US170310514001,30278,Addison,0.350220583
1524,1500000US170311408003,30168,Francisco,0.051330722
1525,1500000US170311911002,30094,Cicero,0.210088551
1526,1500000US170310302002,30148,Granville,0.082328529
1527,1500000US170316809002,30178,63rd,0.001902551
1528,1500000US170317403002,30089,95th/Dan Ryan,5.659083749
1529,1500000US170317502001,30089,95th/Dan Ryan,2.835640335
1530,1500000US170312431002,30033,Ashland,0.396720159
1531,1500000US170310314003,30386,Wilson,0.743415924
1532,1500000US170315804003,30220,Kedzie,0.030054463
1533,1500000US170314004001,30100,Garfield,0.05476128
1534,1500000US170312827001,30043,Western,0.023311046
1535,1500000US170310317004,30386,Wilson,0.513281135
1536,1500000US170311406024,30250,Kimball,0.51662239
1537,1500000US170310208011,30196,Rockwell,0.158632759
1538,1500000US170311909001,30108,Irving Park,0.919102698
1539,1500000US170316111001,30061,Western,1.832678165
1540,1500000US170310503002,30284,Western,0.033424062
1541,1500000US170312306004,30006,Pulaski,0.420078212
1542,1500000US170318383001,30156,Sedgwick,0.019024356
1543,1500000US170314605004,30140,Cottage Grove,2.251848877
1544,1500000US170310713002,30236,Fullerton,0.795328657
1545,1500000US170312105022,30013,Belmont,0.598817049
1546,1500000US170311105011,30248,Jefferson Park,0.154014377
1547,1500000US170311005005,30045,Cumberland,0.367939201
1548,1500000US170312312002,30292,Conservatory,0.164075867
1549,1500000US170310902004,30146,Harlem,0.686370305
1550,1500000US170318395001,30214,35th-Bronzeville-IIT,0.598504912
1551,1500000US170318392003,30382,Cermak-McCormick Place,0.299839867
1552,1500000US170310208023,30196,Rockwell,0.228603829
1553,1500000US170315802001,30023,35th/Archer,1.3807692
1554,1500000US170316111002,30057,Ashland/63rd,0.567403531
1555,1500000US170314909023,30089,95th/Dan Ryan,0.492056806
1556,1500000US170313017023,30152,Central Park,0.081733858
1557,1500000US170317104006,30057,Ashland/63rd,0.772793137
1558,1500000US170313201004,30384,Washington/Wabash,0.625410227
1559,1500000US170315805021,30220,Kedzie,0.046369498
1560,1500000US170318431002,30202,Kedzie,0.00539121
1561,1500000US170316202001,30186,Pulaski,0.087325085
1562,1500000US170315805013,30220,Kedzie,0.176839562
1563,1500000US170315502002,30089,95th/Dan Ryan,4.438031962
1564,1500000US170316203005,30182,Midway,0.183724443
1565,1500000US170311503006,30248,Jefferson Park,0.440313688
1566,1500000US170317501002,30089,95th/Dan Ryan,1.659193902
1567,1500000US170316004002,30216,Halsted,0.209559153
1568,1500000US170318403001,30023,35th/Archer,0.305230947
1569,1500000US170318413004,30041,Damen,0.231916702
1570,1500000US170310305003,30268,Bryn Mawr,0.086300693
1571,1500000US170311605011,30226,Kedzie,0.050994318
1572,1500000US170310308004,30067,Berwyn,0.084202784
1573,1500000US170311613004,30108,Irving Park,0.149327092
1574,1500000US170318411001,30194,Cermak-Chinatown,0.065511589
1575,1500000US170314909022,30089,95th/Dan Ryan,0.094726308
1576,1500000US170316501003,30182,Midway,1.169594312
1577,1500000US170311203003,30260,Montrose,0.372798891
1578,1500000US170311904022,30248,Jefferson Park,0.802154544
1579,1500000US170312001002,30108,Irving Park,0.533274949
1580,1500000US170318404002,30206,Ashland,0.027604058
1581,1500000US170311904011,30248,Jefferson Park,1.12036788
1582,1500000US170314605005,30140,Cottage Grove,1.912588521
1583,1500000US170317002003,30182,Midway,1.397944104
1584,1500000US170312105011,30013,Belmont,0.448309007
1585,1500000US170316504004,30182,Midway,1.07637576
1586,1500000US170311001001,30146,Harlem,1.758962449
1587,1500000US170312505005,30264,Oak Park,0.29419088
1588,1500000US170318407002,30087,California,0.156505598
1589,1500000US170310202003,30164,South Boulevard,2.110008178
1590,1500000US170311511001,30260,Montrose,1.176476389
1591,1500000US170310308002,30067,Berwyn,0.347485321
1592,1500000US170312432002,30033,Ashland,0.036991183
1593,1500000US170315205002,30089,95th/Dan Ryan,6.754765835
1594,1500000US170318428006,30220,Kedzie,0.245564536
1595,1500000US170314112001,30140,Cottage Grove,0.988111677
1596,1500000US170312215002,30112,California,0.318864538
1597,1500000US170311902004,30260,Montrose,0.780950878
1598,1500000US170310304001,30170,Thorndale,0.752748742
1599,1500000US170310632003,30258,Belmont,0.624377202
1600,1500000US170314105002,30025,51st,0.84272372
1601,1500000US170311708002,30146,Harlem,0.223800613
1602,1500000US170312002001,30240,Addison,1.060174432
1603,1500000US170313102002,30216,Halsted,0.228284366
1604,1500000US170313511002,30059,Indiana,0.669177243
