GEO_ID,Year,pri_neigh,sec_neigh,side,price_p_sf,price_p_house,prev_year_no_of_sales,prev_year_avg_age,prev_year_price_p_sf,prev_year_price_p_house,prev_year_avg_sf,station_name,Total Population,Median Age,Median HH Income,Total Housing Units,Median Number of Rooms,Median Year Built,Median Gross Rent,Mean HH Size,Percent White,Percent Black,Percent HH with Children,Percent Housing Vacant,public_schools,crime_count,crimes_per_capita,distance_miles
1500000US170310311001,2016,Uptown,UPTOWN,North,259.9849659187004,436758.82352941175,27.0,80.81481481481481,173.7967474626133,407938.0,2347.2130862964195,Argyle,1781.0,35.600000000000016,65668.0,1084.0,4.299999999999998,1939.0,1097.0,1.75,0.8731049971925879,0.0005614823133071306,0.1219512195121952,0.0636531365313653,0.0,67.0,0.03761931499157777,0.34614319
1500000US170310311001,2017,Uptown,UPTOWN,North,206.41789590642185,482000.0,25.0,67.44,232.6347640693373,463642.68,1993.0068571428571,Argyle,1944.0,37.29999999999998,79207.0,1088.0,4.400000000000002,1939.0,1141.0,1.8400000000000012,0.8791152263374484,0.0005144032921810698,0.10736842105263157,0.03308823529411765,1.0,69.0,0.035493827160493846,0.34614319000000005
1500000US170310311001,2018,Uptown,UPTOWN,North,218.30918077343824,379857.14285714284,21.0,94.9047619047619,226.15651617253326,449573.3333333333,1987.8858276643991,Argyle,2483.0,36.0,90521.0,1118.0,4.599999999999999,1939.0,1124.0,2.2100000000000004,0.6657269432138543,0.012082158679017317,0.08590308370044049,0.0,0.0,91.0,0.036649214659685854,0.34614319000000005
1500000US170310311001,2019,Uptown,UPTOWN,North,229.303871274591,413875.7027027027,34.0,73.44117647058823,259.9849659187004,436758.82352941175,1679.9387687132266,Argyle,2310.0,38.59999999999999,91488.0,1036.0,4.5,1939.0,1185.0,2.2999999999999985,0.6640692640692644,0.015151515151515148,0.12048192771084343,0.03474903474903475,0.0,78.0,0.03376623376623376,0.3461431899999998
1500000US170310311002,2016,Uptown,UPTOWN,North,150.07963026574652,267000.0,8.0,97.25,193.14926341020285,306912.5,1588.9913043478257,Lawrence,767.0,49.800000000000004,26378.0,642.0,3.3000000000000003,1939.0,742.0,1.49,0.6531942633637549,0.20730117340286844,0.06622516556291391,0.19937694704049844,0.0,78.0,0.10169491525423727,0.18053652199999998
1500000US170310311002,2017,Uptown,UPTOWN,North,298.6952323291157,322771.4285714286,6.0,82.5,129.86032505230403,309675.0,2384.6775362318845,Lawrence,777.0,46.1,29326.0,645.0,3.0,1939.0,725.0,1.46,0.5701415701415701,0.23294723294723288,0.02,0.17674418604651165,0.0,73.0,0.09395109395109397,0.180536522
1500000US170310311002,2018,Uptown,UPTOWN,North,131.9323849990763,476100.0,7.0,80.28571428571429,146.87087830402774,358964.28571428574,2444.080745341615,Lawrence,811.0,35.300000000000004,30824.0,634.0,3.1999999999999997,1939.0,734.0,1.3599999999999999,0.6399506781750924,0.1504315659679408,0.04580152671755726,0.061514195583596214,0.0,51.0,0.06288532675709001,0.18053652199999998
1500000US170310311002,2019,Uptown,UPTOWN,North,292.54603080380326,383312.5,3.0,80.33333333333333,150.07963026574652,267000.0,1779.0555555555554,Lawrence,767.0,34.6,32784.0,583.0,3.4,1939.0,810.0,1.3999999999999997,0.6558018252933507,0.13428943937418514,0.17346938775510204,0.06174957118353345,0.0,70.0,0.09126466753585398,0.180536522
1500000US170310311003,2016,Uptown,UPTOWN,North,346.8559910961598,414492.85714285716,14.0,84.78571428571429,196.62945120687243,340639.28571428574,1732.3919871794872,Argyle,1680.0,38.89999999999999,74765.0,771.0,4.6000000000000005,1939.0,1053.0,2.25,0.5226190476190478,0.03511904761904761,0.26271186440677974,0.08430609597924774,0.0,46.0,0.02738095238095239,0.6472062850000001
1500000US170310311003,2017,Uptown,UPTOWN,North,314.48503839901355,434403.7037037037,15.0,50.2,267.88138145956987,341853.3333333333,1276.136965811966,Argyle,1415.0,41.10000000000001,79688.0,775.0,4.6,1939.0,985.0,1.8799999999999992,0.713780918727915,0.04169611307420495,0.3898305084745762,0.09032258064516129,0.0,34.0,0.024028268551236746,0.647206285
